,IR0,IR1,IR2,IR3,IR4,IR5,IR6,IR7,Smell,Turn,Move
8648,10,33,100,70,100,30,60,100,-29.257734328668334,0.0,0.0
8649,10,33,100,70,100,30,60,100,-29.257734328668334,0.0,0.0
8650,10,33,100,70,100,30,60,100,-29.257734328668334,0.0,0.0
8651,10,33,100,70,100,30,60,100,-29.257734328668334,0.0,0.0
8652,10,33,100,70,100,30,60,100,-29.257734328668334,0.0,0.0
8653,10,33,100,70,100,30,60,100,-29.257734328668334,0.0,0.0
8654,10,33,100,70,100,30,60,100,-29.257734328668334,-98.0,20.0
8655,88,14,60,16,100,88,100,28,80.26894016050062,15.080682048150184,10.4
8656,24,6,41,21,100,100,19,100,71.0063006243206,-23.69810981270382,12.0
8657,100,10,5,37,100,100,16,100,102.23020932462896,-14.330937202611313,12.0
8658,100,21,7,10,48,100,14,100,122.89626785659027,0.8688803569770798,12.4
8659,100,24,10,13,65,100,12,100,127.63385596850776,47.29015679055233,12.0
8660,10,2,5,59,100,100,100,100,86.9514477944781,-45.0,2.0
8661,100,11,3,5,61,38,100,100,132.76972360081663,-41.16908291975501,13.6
8662,100,100,24,12,19,100,18,100,174.61052446513725,25.383157339541167,11.2
8663,100,100,19,19,55,29,100,100,151.77396552324734,45.532189656974204,10.0
8664,100,15,15,47,38,100,100,100,110.48307497117958,33.144922491353874,10.0
8665,8,5,16,100,100,100,100,93,81.70984612622914,-45.0,2.0
8666,91,8,5,15,100,100,100,100,127.42087603002642,-6.7737371909920725,12.0
8667,78,100,4,11,100,100,100,100,137.77330949856764,5.331992849570291,11.6
8668,68,100,94,11,100,100,100,100,135.63988012852104,4.691964038556314,11.6
8669,58,100,93,13,100,100,100,100,134.06237240131145,22.218711720393436,10.8
8670,100,100,100,18,100,100,100,49,115.2348170541461,34.57044511624383,10.0
8671,100,83,23,100,100,100,48,100,84.30009132954922,25.290027398864765,10.0
8672,100,100,20,100,100,63,100,88,62.27102037633881,18.68130611290164,10.0
8673,62,100,19,100,100,54,100,100,46.34130325015826,13.902390975047478,10.0
8674,63,100,15,100,100,85,85,100,34.711131176067454,10.413339352820236,10.0
8675,66,100,16,100,88,100,76,100,26.165592099012542,7.849677629703763,10.0
8676,100,100,21,100,88,100,100,36,19.85774124108309,5.957322372324927,10.0
8677,100,100,24,100,92,100,100,33,15.18554926172061,4.555664778516182,10.0
8678,100,100,27,27,99,91,100,30,11.716138200570697,3.514841460171209,10.0
8679,94,97,30,31,100,93,26,27,9.13631307929046,2.7408939237871377,10.0
8680,82,89,33,36,100,100,22,24,7.2190803250953195,2.165724097528596,10.0
8681,71,80,35,40,100,100,19,100,5.800694014726673,1.7402082044180018,10.0
8682,60,70,37,43,100,38,16,100,4.765326020180737,1.4295978060542212,10.0
8683,50,60,39,47,100,33,47,98,4.036393002127056,1.2109179006381168,10.0
8684,40,49,41,50,100,28,100,77,3.5766935596973326,1.0730080679091998,10.0
8685,30,37,42,53,100,29,100,57,3.4102145615767654,-103.0,20.0
8686,52,100,41,40,100,65,100,16,136.38699943639392,40.91609983091818,10.0
8687,100,39,36,85,73,100,19,93,109.66698557862952,32.90009567358886,10.0
8688,36,26,47,76,100,25,45,100,91.02697156003103,27.30809146800931,10.0
8689,17,21,100,95,36,44,100,37,78.05211728333404,23.415635185000212,10.0
8690,7,19,77,100,46,92,100,9,69.63823914317237,45.0,2.0
8691,17,76,100,47,94,100,8,5,26.247006937459787,97.87410208123794,14.0
8692,100,36,93,100,21,19,54,73,-99.34670139270264,-29.80401041781079,10.0
8693,75,100,35,93,49,24,31,61,-90.03564869475167,-27.0106946084255,10.0
8694,50,88,71,49,100,34,25,47,-84.874056512263,-25.462216953678897,10.0
8695,100,46,100,35,100,59,23,26,-83.9480829544384,-25.18442488633152,10.0
8696,26,33,53,100,57,100,24,15,92.36474017496113,27.70942205248834,10.0
8697,100,28,100,65,100,35,13,16,66.55133685779606,37.965401057338816,10.8
8698,16,53,100,100,57,18,18,100,29.622793268553323,8.886837980565996,10.0
8699,8,56,100,100,50,22,27,6,21.531244370405716,45.0,2.0
8700,54,100,100,53,24,29,6,8,-23.64895357489013,82.90531392753296,14.0
8701,82,82,31,32,20,21,70,100,-109.54052226575169,-32.86215667972551,10.0
8702,51,100,67,37,48,25,32,100,-78.86126225856043,-23.658378677568127,10.0
8703,100,31,100,56,48,33,27,58,-57.085952542989446,-17.125785762896832,10.0
8704,100,44,52,91,56,44,26,37,-41.47891393718294,-12.443674181154881,10.0
8705,100,100,30,100,69,76,24,27,-30.22559565036829,-9.067678695110487,10.0
8706,100,100,37,100,84,80,22,20,-22.079811646144947,-6.623943493843484,10.0
8707,100,100,100,39,100,85,17,14,-16.167029788392256,4.149891063482324,10.4
8708,100,100,100,45,100,52,11,9,-21.28567961938586,74.61429611418424,13.6
8709,100,33,100,100,28,18,100,100,-99.4797345151838,-29.843920354555138,10.0
8710,100,100,32,100,100,25,100,87,-72.27189204664307,-21.68156761399292,10.0
8711,100,69,100,43,100,36,100,100,-52.83071250423097,-15.849213751269291,10.0
8712,63,100,100,39,100,54,100,100,-38.79823644626413,-11.639470933879238,10.0
8713,58,100,69,100,100,85,100,100,-28.604565395225166,-8.58136961856755,10.0
8714,57,100,65,100,76,100,100,100,-21.16686443269566,-6.3500593298086985,10.0
8715,54,100,100,100,77,100,100,100,-15.721854769822698,-4.7165564309468095,10.0
8716,51,28,100,100,81,100,100,100,-11.724449012182902,-92.0,20.0
8717,100,100,100,44,100,100,93,23,87.82609352522672,26.347828057568016,10.0
8718,100,100,56,51,94,87,21,100,64.94007956821224,19.48202387046367,10.0
8719,100,100,50,100,100,100,72,100,48.40406093301624,14.521218279904872,10.0
8720,99,100,49,100,100,25,100,100,36.33133926646428,10.899401779939284,10.0
8721,100,100,48,100,100,57,84,100,27.456779982603166,8.23703399478095,10.0
8722,100,100,47,100,100,100,100,100,20.901830694882392,6.270549208464717,10.0
8723,100,100,44,100,66,100,100,94,16.04337362483784,4.8130120874513524,10.0
8724,100,100,40,100,67,97,100,64,12.433998895316222,3.7301996685948664,10.0
8725,100,100,34,100,75,100,100,56,9.750458493911083,2.925137548173325,10.0
8726,95,100,37,100,89,100,100,49,7.759105228978342,2.3277315686935025,10.0
8727,81,100,45,100,100,100,90,100,6.292571641316954,1.8877714923950861,10.0
8728,68,100,53,100,100,100,51,100,5.234937349474421,1.5704812048423265,10.0
8729,56,100,60,100,100,100,41,100,4.515395170726492,1.3546185512179476,10.0
8730,45,100,67,100,100,100,34,100,4.116532715738117,1.2349598147214351,10.0
8731,34,25,74,56,100,100,96,100,-178.90739516385634,-53.6722185491569,10.0
8732,100,100,25,100,65,100,100,39,-126.3721879438865,-37.91165638316595,10.0
8733,82,100,100,32,99,100,100,100,-89.85261965261486,-26.95578589578446,10.0
8734,12,91,100,45,45,84,100,100,-64.15005717485235,-7.6980068609822805,3.999999999999999
8735,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8736,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8737,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8738,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8739,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8740,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8741,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8742,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8743,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8744,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8745,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8746,8,85,100,100,45,91,100,100,-56.80545028260781,0.0,0.0
8747,8,85,100,100,45,91,100,100,-56.80545028260781,-126.0,20.0
8748,64,100,100,43,100,100,40,100,71.88225281649909,21.564675844949726,10.0
8749,100,100,100,34,100,55,100,72,51.44139388554538,15.432418165663613,10.0
8750,100,100,100,37,100,46,100,46,36.8854321937946,11.065629658138379,10.0
8751,100,100,100,45,100,56,78,33,26.484623085231078,7.9453869255693235,10.0
8752,100,100,100,54,100,100,46,73,19.037120052327964,5.711136015698389,10.0
8753,89,100,100,56,91,100,28,100,13.696760597454443,4.109028179236333,10.0
8754,72,100,100,63,93,100,30,100,9.863287714395597,2.958986314318679,10.0
8755,66,100,100,70,98,100,43,100,7.109048338493949,2.1327145015481848,10.0
8756,59,93,100,77,100,37,57,100,5.1285870499430075,1.5385761149829023,10.0
8757,52,85,100,83,100,42,100,100,3.7033811186814205,1.1110143356044262,10.0
8758,43,78,100,90,100,50,100,100,2.6769269171751944,0.8030780751525582,10.0
8759,34,85,100,96,100,58,100,100,1.9370425380431016,0.5811127614129304,10.0
8760,25,100,100,100,100,66,100,100,1.4032569278641631,0.4209770783592489,10.0
8761,15,100,100,100,100,75,100,5,1.0178066524034648,45.30534199572104,12.0
8762,100,100,100,100,87,100,7,19,-46.079085491713386,31.176274352485983,12.0
8763,100,100,100,95,100,15,23,100,-79.78080037950963,-23.934240113852887,10.0
8764,34,100,100,100,100,21,19,49,-57.66947854369994,-17.300843563109982,10.0
8765,100,21,100,100,100,29,18,29,-41.83788721903858,-12.551366165711572,10.0
8766,81,19,98,100,100,37,16,20,-30.435576050404165,-9.13067281512125,10.0
8767,58,100,11,100,100,45,13,14,-22.192110413862736,20.34236687584118,11.200000000000001
8768,100,18,10,100,100,21,11,19,-44.41456332644066,22.675631002067803,11.6
8769,100,7,7,100,59,18,17,40,-69.69892886687944,-65.90967866006383,12.0
8770,37,100,100,14,24,100,14,7,-4.004963011764062,43.79851109647078,12.8
8771,100,100,100,24,100,14,7,20,-50.31625309569807,29.90512407129058,12.0
8772,100,100,31,100,36,25,12,52,-83.59282966868818,1.922151099393549,11.2
8773,100,100,100,41,44,100,17,100,-88.64992612172296,-26.594977836516886,10.0
8774,100,78,100,100,100,35,14,26,-64.63770904964883,-10.39131271489465,10.4
8775,97,98,100,100,100,41,13,19,-56.68964235412295,0.9931072937631136,10.8
